打印	打印	da3yin4	dǎyìn	to affix a seal; to stamp; to print out (with a printer)
大部分	大部分	da4bu4fen5	dàbùfen	in large part; the greater part; the majority
大大	大大	da4da4	dàdà	greatly; enormously; (dialect) dad
大多数	大多數	da4duo1shu4	dàduōshù	(great) majority
大海	大海	da4hai3	dàhǎi	sea; ocean
大家	大家	da4jia1	dàjiā	everyone; influential family; great expert
大量	大量	da4liang4	dàliàng	great amount; large quantity; bulk
大门	大門	da4men2	dàmén	entrance; door; gate
大人	大人	da4ren5	dàren	adult; grownup; title of respect toward superiors
大声	大聲	da4sheng1	dàshēng	loud voice; in a loud voice; loudly
大小	大小	da4xiao3	dàxiǎo	dimension; magnitude; size
大衣	大衣	da4yi1	dàyī	overcoat; topcoat; cloak
大自然	大自然	da4zi4ran2	dàzìrán	nature (the natural world)
带	帶	dai4	dài	band; belt; girdle
带来	帶來	dai4lai2	dàilái	to bring; (fig.) to bring about; to produce
单位	單位	dan1wei4	dānwèi	unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the PRC prior to economic reform)
但	但	dan4	dàn	but; yet; however; still; merely; only; just
但是	但是	dan4shi4	dànshì	but; however
蛋	蛋	dan4	dàn	egg; oval-shaped thing
当	當	dang1	dāng	to be; to act as; manage
当时	當時	dang1shi2	dāngshí	then; at that time; while
倒	倒	dao3, dao4	dǎo, dào	to fall down; to collapse | to turn upside down; to pour out
到处	到處	dao4chu4	dàochù	everywhere
道	道	dao4	dào	road; path; principle
道理	道理	dao4li5	dàoli	reason; argument; sense
道路	道路	dao4lu4	dàolù	road; path; way
得	得	de2, de5	dé, de	to get; to obtain | (particle after a verb indicating degree, possibility, or result)
得出	得出	de2chu1	déchū	to obtain (a result); to arrive at (a conclusion)
的话	的話	de5hua4	dehuà	if (coming after a conditional clause)
灯	燈	deng1	dēng	lamp; light; lantern
等到	等到	deng3dao4	děngdào	to wait until; by the time when (sth is ready etc)
等于	等於	deng3yu2	děngyú	to equal; to be tantamount to
低	低	di1	dī	low; beneath; to lower (one's head)
地球	地球	di4qiu2	dìqiú	the earth
地铁	地鐵	di4tie3	dìtiě	underground railway; subway; subway train
