挨着	挨著	ai1zhe5	āizhe	near
箭	箭	jian4	jiàn	arrow
将军	將軍	jiang1jun1	jiāngjūn	general; high-ranking military officer; to check or checkmate
讲课	講課	jiang3ke4	jiǎngkè	teach; lecture
酱	醬	jiang4	jiàng	thick paste of fermented soybean; marinated in soy paste; paste
酱油	醬油	jiang4you2	jiàngyóu	soy sauce
骄傲	驕傲	jiao1ao4	jiāoào	pride; arrogance; conceited
焦点	焦點	jiao1dian3	jiāodiǎn	focal point; focus (lit. and fig.)
脚印	腳印	jiao3yin4	jiǎoyìn	footprint
觉	覺	jue2	jué	to feel; to find that; thinking
教堂	教堂	jiao4tang2	jiàotáng	church; chapel
教育部	教育部	Jiao4yu4bu4	Jiàoyùbù	Ministry of Education
接收	接收	jie1shou1	jiēshōu	reception (of transmitted signal); to receive; to accept
揭	揭	jie1	jiē	to take the lid off; to expose; to unmask
街头	街頭	jie1tou2	jiētóu	street
节假日	節假日	jie2jia4ri4	jiéjiàrì	public holiday
节能	節能	jie2neng2	jiénéng	to save energy; energy-saving
节奏	節奏	jie2zou4	jiézòu	rhythm; tempo; musical pulse
杰出	傑出	jie2chu1	jiéchū	outstanding; distinguished; remarkable
截止	截止	jie2zhi3	jiézhǐ	to close; to stop; to put a stop to sth
截至	截至	jie2zhi4	jiézhì	up to (a time); by (a time)
解	解	jie3	jiě	to divide; to break up; to split
解说	解說	jie3shuo1	jiěshuō	to explain (verbally); to give a running commentary
界	界	jie4	jiè	boundary; scope | circle; world (e.g. 文艺界 the arts world)
借鉴	借鑒	jie4jian4	jièjiàn	to draw on (others' experience); to learn from (how others do things); lesson to be learned (by observing others)
金额	金額	jin1e2	jīné	sum of money; monetary value
金钱	金錢	jin1qian2	jīnqián	money; currency
金融	金融	jin1rong2	jīnróng	banking; finance; financial
尽	盡	jin4	jìn	to use up; to exhaust; to end
进攻	進攻	jin4gong1	jìngōng	to attack; to assault; to go on the offensive
近日	近日	jin4ri4	jìnrì	(in) the past few days; recently; (within) the next few days
近视	近視	jin4shi4	jìnshì	shortsighted; nearsighted; myopia
惊人	驚人	jing1ren2	jīngrén	astonishing
惊喜	驚喜	jing1xi3	jīngxǐ	nice surprise; to be pleasantly surprised
精	精	jing1	jīng	essence; extract; vitality
精美	精美	jing1mei3	jīngměi	delicate; fine; refinement
精品	精品	jing1pin3	jīngpǐn	quality goods; premium product; fine work (of art)
井	井	jing3	jǐng	a well; neat; orderly
景	景	jing3	jǐng	(bound form) scenery; circumstance; situation
景点	景點	jing3dian3	jǐngdiǎn	tourist attraction; scenic spot
净	淨	jing4	jìng	clean; completely; only
纠纷	糾紛	jiu1fen1	jiūfēn	dispute
纠正	糾正	jiu1zheng4	jiūzhèng	to correct; to make right
酒水	酒水	jiu3shui3	jiǔshuǐ	beverage; drink
救命	救命	jiu4ming4	jiùmìng	to save sb's life; (interj.) Help!; Save me!
救援	救援	jiu4yuan2	jiùyuán	to save; to support; to help
救助	救助	jiu4zhu4	jiùzhù	to help sb in trouble; aid; assistance
就是说	就是說	jiu4shi4shuo1	jiùshìshuō	in other words; that is
就算	就算	jiu4suan4	jiùsuàn	(coll.) even if
剧	劇	ju4	jù	theatrical work (play, opera, TV series etc); dramatic (change, increase etc); acute
据	據	ju4	jù	according to; to act in accordance with; to depend on
捐	捐	juan1	juān	to relinquish; to abandon; to contribute; to donate; (bound form) tax; levy
捐款	捐款	juan1kuan3	juānkuǎn	to donate money; to contribute funds; donation
捐赠	捐贈	juan1zeng4	juānzèng	to contribute (as a gift); to donate; benefaction
捐助	捐助	juan1zhu4	juānzhù	to donate; to offer (aid); contribution
决策	決策	jue2ce4	juécè	strategic decision; decision-making; policy decision
觉悟	覺悟	jue2wu4	juéwù	to come to understand; to realize; consciousness
绝	絕	jue2	jué	to cut short; extinct; to disappear
绝大多数	絕大多數	jue2da4duo1shu4	juédàduōshù	the vast majority
军队	軍隊	jun1dui4	jūnduì	armed forces; troops
军舰	軍艦	jun1jian4	jūnjiàn	warship; military naval vessel
军事	軍事	jun1shi4	jūnshì	military affairs; (attributive) military
开创	開創	kai1chuang4	kāichuàng	to initiate; to start; to found
开关	開關	kai1guan1	kāiguān	power switch; gas valve; to open the city (or frontier) gate
开设	開設	kai1she4	kāishè	to offer (goods or services); to open (for business etc)
开通	開通	kai1tong1	kāitōng	to open (a new road or railway line); to set up (a hotline); to launch (a service); to subscribe to (a members-only service)
开头	開頭	kai1tou2	kāitóu	beginning; to start
开夜车	開夜車	kai1ye4che1	kāiyèchē	to burn the midnight oil; to work late into the night
看管	看管	kan1guan3	kānguǎn	to look after
看得见	看得見	kan4de2jian4	kàndéjiàn	can see; visible
看得起	看得起	kan4de5qi3	kàndeqǐ	to show respect for; to think highly of
看好	看好	kan4hao3	kànhǎo	to keep an eye on
看作	看作	kan4zuo4	kànzuò	to look upon as; to regard as
康复	康復	kang1fu4	kāngfù	to recuperate; to recover (health); to convalesce
抗议	抗議	kang4yi4	kàngyì	to protest; protest
考场	考場	kao3chang3	kǎochǎng	exam room
考题	考題	kao3ti2	kǎotí	exam question
科研	科研	ke1yan2	kēyán	(scientific) research
客车	客車	ke4che1	kèchē	coach; bus; passenger train
肯	肯	ken3	kěn	to agree; to consent; to be willing to
空军	空軍	kong1jun1	kōngjūn	air force
口试	口試	kou3shi4	kǒushì	oral examination; oral test
扣	扣	kou4	kòu	to fasten; to button; button
酷	酷	ku4	kù	ruthless; strong (e.g. of wine); (loanword) cool
跨	跨	kua4	kuà	to step across; to stride over; to straddle
快车	快車	kuai4che1	kuàichē	express (train, bus etc)
宽阔	寬闊	kuan1kuo4	kuānkuò	expansive; wide; width
矿	礦	kuang4	kuàng	mineral deposit; ore deposit; ore; a mine
阔	闊	kuo4	kuò	rich; wide; broad
啦	啦	la1	lā	(onom.) sound of singing, cheering etc; (phonetic); (dialect) to chat
来往	來往	lai2wang3	láiwǎng	to come and go; to have dealings with; to be in relation with
赖	賴	lai4	lài	to depend on; to hang on in a place; bad
栏目	欄目	lan2mu4	lánmù	regular column or segment (in a publication or broadcast program); program (TV or radio)
蓝领	藍領	lan2ling3	lánlǐng	blue-collar; blue-collar worker
蓝天	藍天	lan2tian1	lántiān	blue sky
懒	懶	lan3	lǎn	lazy
牢	牢	lao2	láo	firm; sturdy; fold (for animals)
老乡	老鄉	lao3xiang1	lǎoxiāng	fellow townsman; fellow villager; sb from the same hometown
冷气	冷氣	leng3qi4	lěngqì	air conditioning (Tw)
冷水	冷水	leng3shui3	lěngshuǐ	cold water; unboiled water; fig. not yet ready (of plans)
礼堂	禮堂	li3tang2	lǐtáng	assembly hall; auditorium
理	理	li3	lǐ	texture; grain (of wood); inner essence
理财	理財	li3cai2	lǐcái	to manage wealth; to manage finances; money management
理智	理智	li3zhi4	lǐzhì	reason; intellect; rationality
利	利	li4	lì	sharp; favorable; advantage
联盟	聯盟	lian2meng2	liánméng	alliance; union; coalition
联赛	聯賽	lian2sai4	liánsài	(sports) league; league tournament
联手	聯手	lian2shou3	liánshǒu	lit. to join hands; to act together
凉鞋	涼鞋	liang2xie2	liángxié	sandal
两侧	兩側	liang3ce4	liǎngcè	two sides; both sides
两手	兩手	liang3shou3	liǎngshǒu	one's two hands; two prongs (of a strategy); both aspects, eventualities etc
聊	聊	liao2	liáo	to chat; to depend upon (literary); temporarily
聊天儿	聊天兒	liao2tian1r5	liáotiānr	erhua variant of 聊天; to chat; to gossip
料	料	liao4	liào	material; ingredient | to expect; to anticipate
裂	裂	lie4	liè	to split; to crack; to break open
灵活	靈活	ling2huo2	línghuó	flexible; nimble; agile
领取	領取	ling3qu3	lǐngqǔ	to receive; to draw; to get
领袖	領袖	ling3xiu4	lǐngxiù	leader
另	另	ling4	lìng	other; another; separate
留言	留言	liu2yan2	liúyán	to leave a message; to leave one's comments; message
流感	流感	liu2gan3	liúgǎn	flu; influenza
楼道	樓道	lou2dao4	lóudào	corridor; passageway (in storied building)
楼房	樓房	lou2fang2	lóufáng	a building of two or more stories
露	露	lu4, lou4	lù, lòu	dew; to reveal; to expose | to show; to be exposed (colloquial, e.g. 露馅)
陆军	陸軍	lu4jun1	lùjūn	army; ground forces
录像	錄像	lu4xiang4	lùxiàng	to videotape; to videorecord; video recording
录音机	錄音機	lu4yin1ji1	lùyīnjī	(tape) recording machine; tape recorder
路过	路過	lu4guo4	lùguò	to pass by or through
旅店	旅店	lü3dian4	lǚdiàn	inn; small hotel
绿化	綠化	lü4hua4	lǜhuà	to make green with plants; to reforest; (Internet slang) Islamization
马车	馬車	ma3che1	mǎchē	cart; chariot; carriage
嘛	嘛	ma5	ma	(modal particle indicating something is obvious)
埋	埋	mai2	mái	to bury
馒头	饅頭	man2tou5	mántou	steamed roll; steamed bun; steamed bread
慢车	慢車	man4che1	mànchē	local bus or train; slow train with many stops
盲人	盲人	mang2ren2	mángrén	blind person
梅花	梅花	mei2hua1	méihuā	plum blossom; clubs ♣ (a suit in card games); wintersweet (dialect)
美容	美容	mei3rong2	měiróng	to improve one's appearance (using cosmetics or cosmetic surgery); to make oneself more attractive; to beautify
蒙	蒙	meng2, meng1	méng, mēng	ignorant; to cover; to suffer | to deceive; to cheat; dazed
猛	猛	meng3	měng	ferocious; fierce; violent
棉	棉	mian2	mián	generic term for cotton or kapok; cotton; padded or quilted with cotton
免得	免得	mian3de5	miǎnde	so as not to; so as to avoid
面对面	面對面	mian4dui4mian4	miànduìmiàn	face to face
面向	面嚮	mian4xiang4	miànxiàng	to face; to turn towards; to incline to
妙	妙	miao4	miào	clever; wonderful
灭	滅	mie4	miè	to extinguish or put out; to go out (of a fire etc); to exterminate or wipe out
民歌	民歌	min2ge1	míngē	folk song
民工	民工	min2gong1	míngōng	migrant worker (who moved from a rural area of China to a city to find work); temporary worker enlisted on a public project
民警	民警	min2jing3	mínjǐng	civil police; PRC police; abbr. for 人民警察
民意	民意	min2yi4	mínyì	public opinion; popular will; public will
民主	民主	min2zhu3	mínzhǔ	democracy
名额	名額	ming2e2	míngé	quota; number of places; place (in an institution, a group etc)
名胜	名勝	ming2sheng4	míngshèng	a place famous for its scenery or historical relics; scenic spot
名义	名義	ming2yi4	míngyì	name; titular; nominal
名誉	名譽	ming2yu4	míngyù	fame; reputation; honor
明日	明日	ming2ri4	míngrì	tomorrow
命	命	ming4	mìng	life; fate; order or command
膜	膜	mo2	mó	membrane; film
磨	磨	mo2	mó	to rub; to grind; to polish
没收	沒收	mo4shou1	mòshōu	to confiscate; to seize
墨水	墨水	mo4shui3	mòshuǐ	ink
母	母	mu3	mǔ	mother; elderly female relative; origin
母鸡	母雞	mu3ji1	mǔjī	hen; don't know (humorous slang mimicking Cantonese 唔知, Jyutping: m4 zi1)
母女	母女	mu3nü3	mǔnǚ	mother and daughter; mother-daughter
母子	母子	mu3zi3	mǔzǐ	mother and child; parent and subsidiary (companies); principal and interest
墓	墓	mu4	mù	grave; tomb; mausoleum
拿走	拿走	na2zou3	názǒu	to take away
奶粉	奶粉	nai3fen3	nǎifěn	powdered milk
奶牛	奶牛	nai3niu2	nǎiniú	milk cow; dairy cow
难忘	難忘	nan2wang4	nánwàng	unforgettable
内地	內地	nei4di4	nèidì	inland; interior; hinterland
内外	內外	nei4wai4	nèiwài	inside and outside; domestic and foreign; approximately
内衣	內衣	nei4yi1	nèiyī	undergarment; underwear
能否	能否	neng2fou3	néngfǒu	whether or not; can it or can't it; is it possible?
泥	泥	ni2	ní	mud; clay; paste
扭	扭	niu3	niǔ	to turn; to twist; to wring
排行榜	排行榜	pai2hang2bang3	páihángbǎng	the charts (of best-sellers); table of ranking
派出	派出	pai4chu1	pàichū	to send; to dispatch
判	判	pan4	pàn	to judge; to sentence; to discriminate
盼望	盼望	pan4wang4	pànwàng	to hope for; to look forward to
泡	泡	pao4	pào	bubble; foam; blister; to soak; to steep; to infuse
炮	炮	pao4	pào	cannon; firecracker
陪同	陪同	pei2tong2	péitóng	to accompany
配置	配置	pei4zhi4	pèizhì	to deploy; to allocate; configuration
皮球	皮球	pi2qiu2	píqiú	ball (made of rubber, leather etc)
偏	偏	pian1	piān	to lean; to slant; oblique
贫困	貧困	pin2kun4	pínkùn	impoverished; poverty
品牌	品牌	pin3pai2	pǐnpái	brand name; trademark
聘请	聘請	pin4qing3	pìnqǐng	to engage; to hire (a lawyer etc)
平凡	平凡	ping2fan2	píngfán	commonplace; ordinary; mediocre
平方米	平方米	ping2fang1mi3	píngfāngmǐ	square meter
平衡	平衡	ping2heng2	pínghéng	balance; equilibrium
平台	平臺	ping2tai2	píngtái	platform; terrace; flat-roofed building
评	評	ping2	píng	to discuss; to comment; to criticize
评选	評選	ping2xuan3	píngxuǎn	to select on the basis of a vote or consensus
屏幕	屏幕	ping2mu4	píngmù	screen (TV, computer or movie)
坡	坡	po1	pō	slope; sloping; slanted
扑	撲	pu1	pū	to throw oneself at; to pounce on; to devote one's energies
铺	鋪	pu4	pù	plank bed; place to sleep; shop
欺负	欺負	qi1fu5	qīfu	to bully
奇妙	奇妙	qi2miao4	qímiào	fantastic; wonderful
企图	企圖	qi3tu2	qǐtú	to attempt; to try; attempt
起点	起點	qi3dian3	qǐdiǎn	starting point
起诉	起訴	qi3su4	qǐsù	to sue; to bring a lawsuit against; to prosecute
气氛	氣氛	qi4fen1	qìfēn	atmosphere; mood
恰当	恰當	qia4dang4	qiàdàng	appropriate; suitable
恰好	恰好	qia4hao3	qiàhǎo	as it turns out; by lucky coincidence; (of number, time, size etc) just right
恰恰	恰恰	qia4qia4	qiàqià	exactly; just; precisely
牵	牽	qian1	qiān	to lead along; to pull (an animal on a tether); (bound form) to involve
铅笔	鉛筆	qian1bi3	qiānbǐ	(lead) pencil
谦虚	謙虛	qian1xu1	qiānxū	modest; self-effacing; to make modest remarks
前方	前方	qian2fang1	qiánfāng	ahead; the front
前来	前來	qian2lai2	qiánlái	to come (formal); before; previously
潜力	潛力	qian2li4	qiánlì	potential; capacity
强盗	強盜	qiang2dao4	qiángdào	to rob (with force); bandit; robber
强化	強化	qiang2hua4	qiánghuà	to strengthen; to intensify
强势	強勢	qiang2shi4	qiángshì	strong; powerful; (linguistics) emphatic
强壮	強壯	qiang2zhuang4	qiángzhuàng	strong; sturdy; robust
桥梁	橋梁	qiao2liang2	qiáoliáng	bridge (lit. and fig.)
巧妙	巧妙	qiao3miao4	qiǎomiào	ingenious; clever; ingenuity; artifice
茄子	茄子	qie2zi5	qiézi	eggplant (Solanum melongena L.); aubergine; brinjal
切实	切實	qie4shi2	qièshí	feasible; realistic; practical
侵犯	侵犯	qin1fan4	qīnfàn	to infringe on; to encroach on; to violate
亲属	親屬	qin1shu3	qīnshǔ	kin; kindred; relatives
亲眼	親眼	qin1yan3	qīnyǎn	with one's own eyes; personally
倾向	傾向	qing1xiang4	qīngxiàng	trend; tendency; orientation
清	清	qing1	qīng	(of water etc) clear; clean; quiet; still; pure; uncorrupted
清洁	清潔	qing1jie2	qīngjié	clean; to clean
清洁工	清潔工	qing1jie2gong1	qīngjiégōng	cleaner; janitor; garbage collector
清明节	清明節	Qing1ming2jie2	Qīngmíngjié	Qingming or Pure Brightness Festival or Tomb Sweeping Day, celebration for the dead (in early April)
清洗	清洗	qing1xi3	qīngxǐ	to wash; to clean; to purge
情绪	情緒	qing2xu4	qíngxù	mood; state of mind; moodiness
求职	求職	qiu2zhi2	qiúzhí	to seek employment
球拍	球拍	qiu2pai1	qiúpāi	racket
球星	球星	qiu2xing1	qiúxīng	sports star (ball sport)
球员	球員	qiu2yuan2	qiúyuán	(ball sports) player; team member
区分	區分	qu1fen1	qūfēn	to differentiate; to draw a distinction; to divide into categories
渠道	渠道	qu2dao4	qúdào	irrigation ditch; (fig.) channel; means
取款	取款	qu3kuan3	qǔkuǎn	to withdraw money from a bank
取款机	取款機	qu3kuan3ji1	qǔkuǎnjī	ATM
去掉	去掉	qu4diao4	qùdiào	to get rid of; to exclude; to eliminate
权	權	quan2	quán	authority; power; right
权力	權力	quan2li4	quánlì	power; authority
全力	全力	quan2li4	quánlì	with all one's strength; full strength; all-out (effort)
全新	全新	quan2xin1	quánxīn	all new; completely new
券	券	quan4	quàn	bond (esp. document split in two, with each party holding one half); contract; deed (i.e. title deeds)
缺陷	缺陷	que1xian4	quēxiàn	defect; flaw
却是	卻是	que4shi4	quèshì	nevertheless; actually; the fact is ...
让座	讓座	rang4zuo4	ràngzuò	to give up one's seat for sb
热点	熱點	re4dian3	rèdiǎn	hot spot; point of special interest
热水	熱水	re4shui3	rèshuǐ	hot water
热水器	熱水器	re4shui3qi4	rèshuǐqì	water heater
热线	熱線	re4xian4	rèxiàn	hotline (communications link)
人权	人權	ren2quan2	rénquán	human rights
认同	認同	ren4tong2	rèntóng	to approve of; to endorse; to acknowledge
日夜	日夜	ri4ye4	rìyè	day and night; around the clock
日语	日語	Ri4yu3	Rìyǔ	Japanese language
融合	融合	rong2he2	rónghé	a mixture; an amalgam; fusion
融入	融入	rong2ru4	róngrù	to blend into; to integrate; to assimilate
如	如	ru2	rú	as; as if; such as
如一	如一	ru2yi1	rúyī	consistent; the same; unvarying
乳制品	乳製品	ru3zhi4pin3	rǔzhìpǐn	dairy products
入	入	ru4	rù	to enter; to go into; to join
入学	入學	ru4xue2	rùxué	to enter a school or college; to go to school for the first time as a child
若	若	ruo4	ruò	to seem; like; as
塞	塞	sai1	sāi	to stop up; to squeeze in; to stuff
赛	賽	sai4	sài	to compete; competition; match
赛场	賽場	sai4chang3	sàichǎng	racetrack; field (for athletics competition)
三明治	三明治	san1ming2zhi4	sānmíngzhì	sandwich (loanword)
丧失	喪失	sang4shi1	sàngshī	to lose; to forfeit
山峰	山峰	shan1feng1	shānfēng	(mountain) peak
山谷	山谷	shan1gu3	shāngǔ	valley; ravine
山坡	山坡	shan1po1	shānpō	hillside
伤口	傷口	shang1kou3	shāngkǒu	wound; cut
伤亡	傷亡	shang1wang2	shāngwáng	casualties; injuries and deaths
伤员	傷員	shang1yuan2	shāngyuán	wounded person
商城	商城	shang1cheng2	shāngchéng	shopping center; department store
上当	上當	shang4dang4	shàngdàng	taken in (by sb's deceit); to be fooled; to be duped
上帝	上帝	Shang4di4	Shàngdì	God
上市	上市	shang4shi4	shàngshì	to hit the market (of a new product); to float (a company on the stock market)
上台	上台	shang4tai2	shàngtái	to rise to power (in politics); to go on stage (in the theater)
上演	上演	shang4yan3	shàngyǎn	to screen (a movie); to stage (a play); a screening
勺	勺	shao2	sháo	spoon; ladle; abbr. for 勺, centiliter (unit of volume)
少儿	少兒	shao4er2	shàoér	child
舌头	舌頭	she2tou5	shétou	tongue; enemy soldier captured for the purpose of extracting information
设计师	設計師	she4ji4shi1	shèjìshī	designer; architect
涉及	涉及	she4ji2	shèjí	to involve; to touch upon (a topic)
深化	深化	shen1hua4	shēnhuà	to deepen; to intensify
深深	深深	shen1shen1	shēnshēn	deep; profound
审查	審查	shen3cha2	shěnchá	to examine; to investigate; to censor out
升级	升級	sheng1ji2	shēngjí	to go up by one grade; to be promoted; to escalate (in intensity); (computing) to upgrade
升学	升學	sheng1xue2	shēngxué	to enter the next grade school
升值	升值	sheng1zhi2	shēngzhí	to rise in value; to appreciate
生活费	生活費	sheng1huo2fei4	shēnghuófèi	cost of living; living expenses; alimony
省钱	省錢	sheng3qian2	shěngqián	to save money
圣诞节	聖誕節	Sheng4dan4jie2	Shèngdànjié	Christmas time; Christmas season; Christmas
盛行	盛行	sheng4xing2	shèngxíng	to be in vogue; to be popular; to be prevalent
师父	師父	shi1fu5	shīfu	used for 师傅 (in Taiwan); master; qualified worker
师生	師生	shi1sheng1	shīshēng	teachers and students
时而	時而	shi2er2	shíér	occasionally; from time to time
时节	時節	shi2jie2	shíjié	season; time
时期	時期	shi2qi1	shíqī	period; phase
时时	時時	shi2shi2	shíshí	often; constantly
时装	時裝	shi2zhuang1	shízhuāng	fashion; fashionable clothes
识	識	shi2	shí	to know; knowledge; Taiwan pr. [shì]
识字	識字	shi2zi4	shízì	to learn to read
实践	實踐	shi2jian4	shíjiàn	practice; to put into practice; to live up to (a promise)
食欲	食慾	shi2yu4	shíyù	appetite
市民	市民	shi4min2	shìmín	city resident
事后	事後	shi4hou4	shìhòu	after the event; in hindsight; in retrospect
试点	試點	shi4dian3	shìdiǎn	test point; to carry out trial; pilot scheme
适当	適當	shi4dang4	shìdàng	suitable; appropriate
收藏	收藏	shou1cang2	shōucáng	to collect (works of art, dolls, antiques etc); to put away for safekeeping; (Internet) to bookmark; a collection
收取	收取	shou1qu3	shōuqǔ	to receive; to collect
收养	收養	shou1yang3	shōuyǎng	to take in and care for (an elderly person, a dog etc); to adopt (a child); adoption
手续费	手續費	shou3xu4fei4	shǒuxùfèi	service charge; processing fee; commission
首次	首次	shou3ci4	shǒucì	first; first time; for the first time
首脑	首腦	shou3nao3	shǒunǎo	head (of state); summit (meeting); leader
首席	首席	shou3xi2	shǒuxí	chief (representative, correspondent etc)
首相	首相	shou3xiang4	shǒuxiàng	prime minister (of Japan or UK etc)
书房	書房	shu1fang2	shūfáng	study (room); studio
薯片	薯片	shu3pian4	shǔpiàn	fried potato chips
薯条	薯條	shu3tiao2	shǔtiáo	french fries; french fried potatoes; chips
双打	雙打	shuang1da3	shuāngdǎ	doubles (in sports)
爽	爽	shuang3	shuǎng	bright; clear; crisp
水泥	水泥	shui3ni2	shuǐní	cement
税	稅	shui4	shuì	taxes; duties
顺	順	shun4	shùn	to obey; to follow; to arrange
说明书	說明書	shuo1ming2shu1	shuōmíngshū	(technical) manual; (book of) directions; synopsis (of a play or film)
说实话	說實話	shuo1shi2hua4	shuōshíhuà	to speak the truth; truth to tell; frankly
司长	司長	si1zhang3	sīzhǎng	bureau chief
死亡	死亡	si3wang2	sǐwáng	to die; death
四处	四處	si4chu4	sìchù	all over the place; everywhere and all directions
寺	寺	si4	sì	Buddhist temple; mosque; government office (old)
送礼	送禮	song4li3	sònglǐ	to give a present
送行	送行	song4xing2	sòngxíng	to see someone off; to throw someone a send-off party
素质	素質	su4zhi4	sùzhì	inner quality; basic essence
算了	算了	suan4le5	suànle	let it be; let it pass; forget about it
算是	算是	suan4shi4	suànshì	considered to be; at last
虽	雖	sui1	suī	although; even though
岁数	歲數	sui4shu5	suìshu	age (number of years old)
踏实	踏實	ta1shi5	tāshi	firmly-based; steady; steadfast
塔	塔	ta3	tǎ	pagoda; tower; minaret
踏	踏	ta4	tà	to tread; to stamp; to step on
台灯	檯燈	tai2deng1	táidēng	desk lamp; table lamp
太阳能	太陽能	tai4yang2neng2	tàiyángnéng	solar energy
叹气	嘆氣	tan4qi4	tànqì	to sigh; to heave a sigh
探索	探索	tan4suo3	tànsuǒ	to explore; to probe
探讨	探討	tan4tao3	tàntǎo	to investigate; to probe
趟	趟	tang4	tàng	to wade; to trample; to turn the soil
掏	掏	tao1	tāo	to fish out (from pocket); to scoop
特	特	te4	tè	special; unique; distinguished
特大	特大	te4da4	tèdà	exceptionally big
特地	特地	te4di4	tèdì	specially; for a special purpose
特快	特快	te4kuai4	tèkuài	express (train, delivery etc)
特意	特意	te4yi4	tèyì	specially; intentionally
疼痛	疼痛	teng2tong4	téngtòng	pain; (of a body part) to be painful; to be sore; to hurt; (of a person) to be in pain
踢	踢	ti1	tī	to kick; to play (e.g. soccer); (slang) butch (in a lesbian relationship)
提交	提交	ti2jiao1	tíjiāo	to submit (a report etc); to refer (a problem) to sb
提升	提升	ti2sheng1	tíshēng	to promote (to a higher-ranking position); to lift; to hoist; (fig.) to elevate; to raise; to improve
天然	天然	tian1ran2	tiānrán	natural
天堂	天堂	tian1tang2	tiāntáng	paradise; heaven
天下	天下	tian1xia4	tiānxià	land under heaven; the whole world; the whole of China
添	添	tian1	tiān	to add; to increase; to replenish
田	田	tian2	tián	field; farm
田径	田徑	tian2jing4	tiánjìng	track and field (athletics)
跳水	跳水	tiao4shui3	tiàoshuǐ	to dive (into water); (sports) diving; to commit suicide by jumping into water
听取	聽取	ting1qu3	tīngqǔ	to hear (news); to listen to
通报	通報	tong1bao4	tōngbào	to inform; to notify; to announce
通道	通道	tong1dao4	tōngdào	(communications) channel; thoroughfare; passage
通红	通紅	tong1hong2	tōnghóng	very red; red through and through; to blush (deep red)
通话	通話	tong1hua4	tōnghuà	to hold a conversation; to talk over the telephone; phone call
通行	通行	tong1xing2	tōngxíng	to go through; to pass through; to be in general use
通讯	通訊	tong1xun4	tōngxùn	communications; news story; dispatch
同	同	tong2	tóng	like; same; similar
同胞	同胞	tong2bao1	tóngbāo	born of the same parents; sibling; fellow citizen
同行	同行	tong2hang2	tóngháng	person of the same profession; of the same trade, occupation or industry
同期	同期	tong2qi1	tóngqī	the corresponding time period (in a different year etc); concurrent; synchronous
同一	同一	tong2yi1	tóngyī	identical; the same
铜牌	銅牌	tong2pai2	tóngpái	bronze medal; bronze plaque bearing a business name or logo etc
头疼	頭疼	tou2teng2	tóuténg	headache
投票	投票	tou2piao4	tóupiào	to vote; vote
透露	透露	tou4lu4	tòulù	to leak out; to divulge; to reveal
图书	圖書	tu2shu1	túshū	books (in a library or bookstore)
徒弟	徒弟	tu2di4	túdì	apprentice; disciple
途径	途徑	tu2jing4	tújìng	way; means; channel
团队	團隊	tuan2dui4	tuánduì	team
推出	推出	tui1chu1	tuīchū	to push out; to release; to launch
退票	退票	tui4piao4	tuìpiào	to bounce (a check); to return a ticket; ticket refund
吞	吞	tun1	tūn	to swallow; to take
托	托	tuo1	tuō	prop; support (for weight); rest (e.g. arm rest)
拖	拖	tuo1	tuō	to drag; to tow; to trail
拖鞋	拖鞋	tuo1xie2	tuōxié	slippers; sandals; flip-flops
挖	挖	wa1	wā	to dig; to excavate; to scoop out
娃娃	娃娃	wa2wa5	wáwa	baby; small child; doll
哇	哇	wa1	wā	Wow!; sound of a child's crying; sound of vomiting
外币	外幣	wai4bi4	wàibì	foreign currency
外部	外部	wai4bu4	wàibù	the outside; (attributive) external; exterior; surface
外出	外出	wai4chu1	wàichū	to go out; to go away (on a trip etc)
外观	外觀	wai4guan1	wàiguān	outward appearance
外科	外科	wai4ke1	wàikē	surgery (branch of medicine)
外来	外來	wai4lai2	wàilái	external; foreign; outside
外头	外頭	wai4tou5	wàitou	outside; out
外衣	外衣	wai4yi1	wàiyī	outer clothing; semblance; appearance
外资	外資	wai4zi1	wàizī	foreign investment
弯曲	彎曲	wan1qu1	wānqū	to bend; to curve around; curved
顽皮	頑皮	wan2pi2	wánpí	naughty
顽强	頑強	wan2qiang2	wánqiáng	tenacious; hard to defeat
王后	王后	wang2hou4	wánghòu	queen
王子	王子	wang2zi3	wángzǐ	prince; son of a king
网吧	網吧	wang3ba1	wǎngbā	Internet café
网页	網頁	wang3ye4	wǎngyè	web page
往后	往後	wang3hou4	wǎnghòu	from now on; in the future; time to come
往来	往來	wang3lai2	wǎnglái	dealings; contacts; to go back and forth
往年	往年	wang3nian2	wǎngnián	in former years; in previous years
望见	望見	wang4jian4	wàngjiàn	to espy; to spot
危机	危機	wei1ji1	wēijī	crisis
威胁	威脅	wei1xie2	wēixié	to threaten; to menace
微波炉	微波爐	wei1bo1lu2	wēibōlú	microwave oven
维生素	維生素	wei2sheng1su4	wéishēngsù	vitamin
为此	為此	wei4ci3	wèicǐ	for this reason; with regards to this; in this respect
为何	為何	wei4he2	wèihé	why
文娱	文娛	wen2yu2	wényú	cultural recreation; entertainment
卧铺	臥鋪	wo4pu4	wòpù	a bed (on a train); a couchette
乌云	烏雲	wu1yun2	wūyún	black cloud
无边	無邊	wu2bian1	wúbiān	without boundary; not bordered
无关	無關	wu2guan1	wúguān	unrelated; having nothing to do (with sth else)
无效	無效	wu2xiao4	wúxiào	not valid; ineffective; in vain
舞蹈	舞蹈	wu3dao3	wǔdǎo	dance (performance art); dancing
物品	物品	wu4pin3	wùpǐn	articles; goods
