挨着	挨著	ai1zhe5	āizhe	near
查看	查看	cha2kan4	chákàn	to look over; to examine; to check up
拆迁	拆遷	chai1qian1	chāiqiān	to demolish a building and relocate the inhabitants
产量	產量	chan3liang4	chǎnliàng	output
昌盛	昌盛	chang1sheng4	chāngshèng	prosperous
长短	長短	chang2duan3	chángduǎn	length; accident; mishap; right and wrong; good and bad; merits and demerits
长假	長假	chang2jia4	chángjià	long vacation
长久	長久	chang2jiu3	chángjiǔ	(for a) long time
长跑	長跑	chang2pao3	chángpǎo	long-distance running
长远	長遠	chang2yuan3	chángyuǎn	long-term; long-range
常规	常規	chang2gui1	chángguī	code of conduct; conventions; common practice
常年	常年	chang2nian2	chángnián	all year round; for years on end; average year
厂商	廠商	chang3shang1	chǎngshāng	manufacturer; producer
场地	場地	chang3di4	chǎngdì	space; site; place
场馆	場館	chang3guan3	chǎngguǎn	sporting venue; arena
场景	場景	chang3jing3	chǎngjǐng	scene; scenario; situation; setting
畅通	暢通	chang4tong1	chàngtōng	unimpeded; free-flowing; straight path
超	超	chao1	chāo	to exceed; to overtake; to surpass
超出	超出	chao1chu1	chāochū	to exceed; to overstep; to go too far
炒	炒	chao3	chǎo	to sauté; to stir-fry; to speculate
炒股	炒股	chao3gu3	chǎogǔ	(coll.) to speculate in stocks
炒作	炒作	chao3zuo4	chǎozuò	to hype; to promote (in the media)
车号	車號	che1hao4	chēhào	vehicle number (license plate number, taxi number, bus number, train car number)
车牌	車牌	che1pai2	chēpái	license plate
车展	車展	che1zhan3	chēzhǎn	motor show
撤离	撤離	che4li2	chèlí	to withdraw from; to evacuate
撤销	撤銷	che4xiao1	chèxiāo	to repeal; to revoke; (computing) to undo
撑	撐	cheng1	chēng	to support; to prop up; to push or move with a pole
成分	成分	cheng2fen4	chéngfèn	composition; ingredient; element; component; one's social status
成品	成品	cheng2pin3	chéngpǐn	finished goods; a finished product
承诺	承諾	cheng2nuo4	chéngnuò	to promise; to undertake to do something; commitment
城区	城區	cheng2qu1	chéngqū	city district; urban area
城乡	城鄉	cheng2xiang1	chéngxiāng	city and countryside
